#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
14.894598,1000,1069.518297
34.67787,1000,1081.495038
15.212771,1000,1095.829053
22.405738,1000,1109.048589
23.421977,1000,1122.463044
14.024925,1000,1136.167711
20.124358,1000,1147.786853
-1.252567,1000,1164.051547
4.745654,1000,1180.553422
-3.386249,1000,1196.316198
17.240435,1000,1209.556368
14.854198,1000,1222.946842
28.822902,1000,1237.656862
23.610454,1000,1259.429687
5.501056,1000,1275.497485
12.598427,1000,1289.384702
16.174555,1000,1306.149704
7.805026,1000,1321.237574
16.056251,1000,1335.033066
10.199414,1000,1348.026057
13.850167,1000,1361.149981
13.532493,1000,1374.1312
43.558762,1000,1386.477183
20.175632,1000,1398.611897
65.311164,1000,1413.637013
68.650227,1000,1426.982849
39.460546,1000,1441.769903
44.155698,1000,1455.492867
47.376516,1000,1467.960019
42.561026,1000,1483.844554
23.55189,1000,1500.470322
-1.637967,1000,1515.434073
4.378977,1000,1530.860881
40.719856,1000,1548.405238
37.997396,1000,1562.933198
29.039164,1000,1579.391608
29.766419,1000,1593.645653
26.88804,1000,1607.839789
32.399051,1000,1627.939174
26.054738,1000,1643.783363
38.071811,1000,1656.933833
31.282055,1000,1671.210672
68.566411,1000,1685.344355
80.430075,1000,1699.390071
213.296197,1000,1718.112238
27.675469,1000,1735.014593
28.110967,1000,1751.757076
53.92689,1000,1774.912475
120.590853,1000,1794.399538
120.040187,1000,1810.362014
92.284134,1000,1831.859441
129.748874,1000,1849.900774
99.003684,1000,1864.588047
106.656966,1000,1888.416975
115.989385,1000,1907.516616
114.829626,1000,1926.10397
139.269102,1000,1948.02148
87.244015,1000,1963.453466
221.803529,1000,1981.082599
257.154568,1000,1998.048788
226.423527,1000,2012.569522
157.861665,1000,2030.899056
114.747909,1000,2048.754304
307.317525,1000,2066.898363
307.32821,1000,2080.086489
282.983362,1000,2095.24907
314.586779,1000,2114.317504
318.123648,1000,2132.780805
313.435461,1000,2147.843521
323.107273,1000,2160.744738
329.40064,1000,2172.371509
332.437044,1000,2196.823874
339.103073,1000,2214.284038
340.996598,1000,2237.484225
334.622411,1000,2256.551616
327.681855,1000,2276.292924
329.883744,1000,2295.268085
340.004582,1000,2307.43103
337.394703,1000,2323.487757
346.915289,1000,2337.249955
333.547743,1000,2353.900704
331.149547,1000,2371.334011
343.418451,1000,2393.849739
327.696296,1000,2406.691182
335.200576,1000,2438.581028
337.65894,1000,2458.734985
348.308312,1000,2477.016033
337.737295,1000,2512.793268
338.495345,1000,2542.407925
332.606575,1000,2566.164032
336.212704,1000,2598.043087
334.395876,1000,2619.633244
330.762672,1000,2636.745041
338.810524,1000,2650.83499
338.689882,1000,2665.632305
340.266992,1000,2679.714419
341.946616,1000,2693.769636
342.223352,1000,2708.152116
343.499471,1000,2722.505286
347.336883,1000,2738.178806
336.765798,1000,2758.353152
344.006412,1000,2774.087552
333.375587,1000,2791.914253
334.68184,1000,2812.008276
323.312235,1000,2826.196675
330.393982,1000,2838.944371
336.759674,1000,2851.843679
333.393673,1000,2867.834858
347.102997,1000,2881.423943
336.864861,1000,2896.90852
331.097216,1000,2914.906367
341.927458,1000,2931.435454
337.336666,1000,2946.566633
343.106654,1000,2964.748529
340.243189,1000,2987.860454
341.352304,1000,3008.032589
336.071644,1000,3026.697755
336.381595,1000,3043.143662
339.916211,1000,3061.448897
336.468154,1000,3076.210912
335.854095,1000,3092.844979
339.833215,1000,3119.004747
347.720774,1000,3137.723629
336.729656,1000,3151.375674
343.312864,1000,3164.079627
338.939354,1000,3176.75975
350.483319,1000,3189.757003
342.204884,1000,3203.909158
340.150203,1000,3217.948958
338.682982,1000,3232.073553
341.39273,1000,3246.112
340.794671,1000,3258.254869
345.45021,1000,3271.545336
350.256387,1000,3285.862715
342.878557,1000,3299.805138
341.623713,1000,3313.918726
338.797532,1000,3333.215424
343.729891,1000,3352.184167
349.438466,1000,3370.185462
339.69468,1000,3388.119669
342.327952,1000,3401.93143
342.332662,1000,3416.09325
338.421579,1000,3432.406877
344.571884,1000,3446.797173
352.020788,1000,3463.738117
344.74691,1000,3478.030633
346.016472,1000,3490.976966
342.90684,1000,3508.124627
345.734648,1000,3522.180797
350.022583,1000,3534.862618
347.079523,1000,3552.084473
343.856322,1000,3564.563315
343.891041,1000,3584.57332
344.878771,1000,3601.449079
342.280645,1000,3619.665298
340.680212,1000,3637.831364
346.658611,1000,3652.870821
341.474119,1000,3673.222896
344.627813,1000,3701.963843
348.846328,1000,3719.733575
342.390883,1000,3738.171944
