#{"t_start": 1677702823.6680574, "env_id": "Swimmer-v3"}
r,l,t
5.696309,1000,14341.69832
26.348109,1000,14355.16176
16.202593,1000,14369.477866
48.079309,1000,14382.568396
44.235776,1000,14395.81135
47.657961,1000,14409.99876
44.636498,1000,14424.65821
39.009247,1000,14438.012245
45.682638,1000,14456.897877
30.058626,1000,14471.977971
40.832604,1000,14487.308166
44.632975,1000,14502.388998
15.897158,1000,14518.154503
39.035297,1000,14532.927169
24.811002,1000,14548.122527
37.243672,1000,14562.898884
18.579406,1000,14577.580139
28.962841,1000,14590.531585
43.931923,1000,14608.159006
